job_n,Energy,n_helices,r0_A,r0_B,r0_C,omega0,delta_omega0_A,delta_omega0_B,delta_omega0_C,z0_offset_A,z0_offset_B,z0_offset_C,helix1 phase,helix 2 phase,helix3 phase,invert_A,invert_B,invert_C,z1_offset_A,z1_offset_B,z1_offset_C,delta_t_A,delta_t_B,delta_t_C,omega1,z1
36019,-387.167,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36022,-402.606,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,0.6,0.6,0,0,0,99.999268,1.51
36020,-395.944,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36002,-389.788,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-3,-1.8,0,0,0,99.999268,1.51
36005,-388.016,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-3,1.8,0,0,0,99.999268,1.51
36023,-391.629,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,0.6,1.8,0,0,0,99.999268,1.51
36025,-393.939,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,1.8,-3,0,0,0,99.999268,1.51
36009,-388.843,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-1.8,-0.6,0,0,0,99.999268,1.51
36010,-400.76,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36014,-393.46,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-0.6,-1.8,0,0,0,99.999268,1.51
36011,-384.428,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36012,-402.254,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-1.8,3,0,0,0,99.999268,1.51
36008,-403.22,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36027,-408.135,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,1.8,-0.6,0,0,0,99.999268,1.51
36033,-391.52,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,3,-0.6,0,0,0,99.999268,1.51
36031,-393.188,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,3,-3,0,0,0,99.999268,1.51
36015,-400.86,3,6,6,6,0,0,120,240,0,0,0,0,0,0,0,1,0,0,-0.6,-0.6,0,0,0,99.999268,1.51
36037,-397.525,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-3,-3,0,0,0,99.999268,1.51
36039,-406.948,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-3,-0.6,0,0,0,99.999268,1.51
36038,-393.31,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-3,-1.8,0,0,0,99.999268,1.51
36057,-413.56,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,0.6,-0.6,0,0,0,99.999268,1.51
36047,-401.193,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36043,-406.187,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36055,-408.054,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36046,-407.355,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36049,-410.541,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-0.6,-3,0,0,0,99.999268,1.51
36056,-394.723,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36044,-286.101,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36060,-399.727,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,0.6,3,0,0,0,99.999268,1.51
36051,-403.389,3,6,6,6,0,0,120,240,0,0,0,0,0,20,0,1,0,0,-0.6,-0.6,0,0,0,99.999268,1.51
